Day fraction since midnight on ,Photometer (mg/L),Run Pump ()
0.602382458,1.001216769,1
0.602440338,1.001217127,1
0.602498215,1.000951648,1
0.602556088,1.00093317,1
0.602613941,1.001013398,1
0.602671812,1.001119852,1
dye in,,
0.602729683,1.000974178,1
0.602787572,1.001350164,1
0.602845441,1.001665711,1
0.602903309,1.001388907,1
0.602961166,1.001382232,1
0.603019036,1.001115322,1
0.603076917,1.001374126,1
0.603134772,1.001224876,1
0.603192657,1.001220346,1
0.60325053,1.001636863,1
0.603308386,2.810021877,1
0.603366257,6.608248234,1
0.60342414,5.523275375,1
0.603481997,2.556079626,1
0.603539867,1.08704555,1
0.603597739,1.021672845,1
0.60365561,1.00710547,1
dye out,,
